AlertStatus|score|alert_date|Message Text
Blocked|100|21/07/2015 21:36|{1:F01DBSSSGSGXXXXX0000000000}{2:I103DBSSSGSGXXXXN}{4::20:XXXXXXXXXXX:23B:CRED:32A:180622SGD500,:33B:SGD500:50K:/XXXXXXXXXXXWHG (INTERNATIONAL) LTD CLIENTS NO3 ACCOUNT WILLIAM HILL ONLINE 6/1 WATERPORT PLACE GIBRALTAR:57A:XXXXXXXXXXX:59:/XXXXXXXXXXXAC MYINTSINGAPORESINGAPORE149544:70:XXXXXXXXXXX:71A:XXX-}
Blocked|100|41832.58056|{1:F01DBSSSGSGXXXXX0000000000}{2:I103DBSSSGSGXXXXN}{4::20:XXXXXXXXXXX:23B:CRED:32A:180622SGD500,:50K:/XXXXXXXXXXXAng SallyUnion of Myanmar:59:/XXXXXXXXXXX SallyUnion of Myanmar:70:XXXXXXXXXXX:71A:XXX-}
Blocked|100|14/07/2016 16:12|{1:F01DBSSSGSGXXXXX0000000000}{2:I103DBSSSGSGXXXXN}{4::20:XXXXXXXXXXX:23B:CRED:32A:180622SGD500,:50K:/XXXXXXXXXXXBALLOCH HAJIJAHAPT BLOCK 693, HOUGANG STREET 61 01530693, SINGAPORE:57D:POSBANKSINGAPORE:59:/XXXXXXXXXXXHAJIJAH OSMAN:70:XXXXXXXXXXXPURPOSE OUR CUSTOMER HAS SOLD THEIRUK PROPERTY AND MOVING BACK TOSINGAPORE TO CARE FOR HER SISTER:71A:XXX:72:XXXXXXX-}
Blocked|100|41804|{1:F01DBSSSGSGXXXXX0000000000}{2:I103DBSSSGSGXXXXN}{4::20:XXXXXXXXXXX:23B:CRED:32A:180622SGD500,:50K:/XXXXXXXXXXXBank Of Industry And Mine (Of Iran)San Antonio del SurCuba:59:/XXXXXXXXXXX1/Tidewater Middle East Co.2/Yazd Province, Yazd, Sar-e Do Rah, Cross Road، Farhangian3/IR/Iran:71A:XXX-}
Blocked|100|43027|{1:F01DBSSSGSGXXXXX0000000000}{2:I103DBSSSGSGXXXXN}{4::20:XXXXXXXXXXX:23B:CRED:32A:180622SGD500,:50K:/XXXXXXXXXXXKorea Daesong General Trading CorporationMazandaran ProvinceIran:59:/XXXXXXXXXXXYK-AYEStudio 103, The Business Centre, 61 Wellfield Road, RoathUnited Kingdom:71A:XXX-}
Blocked|100|42467.7875|{1:F01DBSSSGSGXXXXX0000000000}{2:I103DBSSSGSGXXXXN}{4::20:XXXXXXXXXXX:23B:CRED:32A:180622SGD500,:50K:/XXXXXXXXXXXMSK RESOURCES SDN BHDW505 WEST WING METROPOLITAN SQUARE2 JLN PJU 8/1 BDR DAMANSARA PERDANA46820 PETALING JAYA SEL MALAYSIA:57A:XXXXXXXXXXX:59:/XXXXXXXXXXXGREATLAND COMPANY PTE LTD16 RAFFLES QUAY B 149 HONGLEONG BUILDING SINGAPORE048581:70:XXXXXXXXXXX:71A:XXX-}
Blocked|90|26/05/2014 13:38|{1:F01DBSSSGSGXXXXX0000000000}{2:I103DBSSSGSGXXXXN}{4::20:XXXXXXXXXXX:23B:CRED:32A:180622SGD500,:33B:SGD500:50K:/XXXXXXXXXXXNIDO PETROLEUM PHILLIPINES PTY LTDLEVEL 3 1 PRESTON ST COMO WA 6152 AU:52A:XXXXXXXXXXX:59:/XXXXXXXXXXXADVENTURE TRADE LIMITEDDBS ASIA CENTRAL MBFC TOWER 3 12 MARINA BOULEVARD SINGAPORE SG:70:XXXXXXXXXXXS PTY LTD PYT FOR INV 08 NIDO SC63FEES AND EXP CLAIMS APR14:71A:XXX:71F:AUD35,00-}
Blocked|100|42173|{1:F01DBSSSGSGXXXXX0000000000}{2:I103DBSSSGSGXXXXN}{4::20:XXXXXXXXXXX:23B:CRED:32A:180622SGD500,:50K:/XXXXXXXXXXXElektroavtomatVladimirsky prospect, 23, liter ARussia:59:/XXXXXXXXXXXYK-ATABeirut Rd, DamascusSyria:71A:XXX-}
Blocked|100|41750|{1:F01DBSSSGSGXXXXX0000000000}{2:I103DBSSSGSGXXXXN}{4::20:XXXXXXXXXXX:23B:CRED:32A:180622SGD500,:50F:XXXXXXXXXXX1/National Liberation Front of Tripu1/ra3/IN/INDIA:59:/XXXXXXXXXXX1/National Iranian Tanker Company LL1/C3/IR/Iran:71A:XXX-}
Blocked|100|16/01/2016 0:02|{1:F01DBSSSGSGXXXXX0000000000}{2:I103DBSSSGSGXXXXN}{4::20:XXXXXXXXXXX:23B:CRED:32A:180622SGD500,:33B:SGD500:50K:/XXXXXXXXXXXINDEVELOP SWEDEN ABKARLBERGSVAGEN 77, PLAN 5113 35 STOCKHOLM:52A:XXXXXXXXXXX:56A:XXXXXXXXXXX:57D:CO-OPERATIVE BANK LIMITED (PUBLICCB BANK11142 YANGONMYANMAR:59:/XXXXXXXXXXXWIN AUNG:70:XXXXXXXXXXX:71A:XXX:71F:EUR20,00-}
